mold_temp,barrel_temp,injection_pressure,holding_pressure,cycle_time,quality
83.16,230.93,100.21,74.49,31.91,0
84.9,213.12,101.78,67.55,24.89,0
77.96,218.01,91.35,81.57,29.82,0
81.63,216.92,95.17,88.52,29.61,0
78.05,224.5,107.78,79.69,31.12,0
80.19,211.7,99.72,70.19,30.06,0
77.35,224.91,102.05,87.16,34.64,0
79.78,213.53,105.57,81.55,28.06,0
79.3,223.7,93.62,68.12,30.86,0
82.48,225.36,108.83,70.73,27.58,0
80.56,213.09,98.02,67.39,29.39,0
79.07,226.33,92.17,82.68,27.54,0
78.54,233.5,93.13,84.91,30.53,0
77.84,220.17,101.99,75.43,27.71,0
76.79,212.11,89.21,78.02,31.08,0
74.4,231.84,100.98,66.65,31.98,0
83.58,227.12,111.68,96.73,38.05,1
83.41,212.36,89.19,75.41,34.99,0
81.57,229.43,105.69,84.56,31.93,0
81.24,220.59,104.85,64.88,27.55,0
80.28,214.25,103.85,84.73,31.96,0
87.39,215.79,91.15,74.4,30.64,0
81.21,226.01,86.71,77.04,31.2,0
76.22,206.64,103.44,86.17,33.06,0
79.52,237.23,98.03,79.24,28.02,0
79.65,226.6,105.06,74.9,31.28,0
90.9,226.87,127.87,107.02,31.51,1
86.95,225.92,118.39,95.89,41.02,1
81.42,225.49,89.99,94.41,28.89,0
78.01,220.39,99.4,91.81,28.78,0
80.94,224.71,96.54,75.82,26.0,0
82.89,232.02,87.55,76.43,28.7,0
76.83,224.88,98.25,83.06,30.99,0
78.37,222.86,109.61,79.72,32.22,0
82.28,208.62,121.06,83.49,29.8,0
82.26,215.38,98.85,79.47,32.73,0
82.3,215.2,98.38,87.12,30.48,0
80.29,224.15,86.46,82.95,31.52,0
78.62,225.46,96.33,73.34,30.61,0
84.69,215.94,91.0,88.35,27.35,0
79.02,223.21,96.58,90.23,29.87,0
80.26,208.42,100.88,84.67,28.62,0
87.86,218.83,139.67,97.53,27.33,1
78.56,219.9,106.06,78.58,29.4,0
79.1,208.74,105.81,77.13,34.5,0
76.41,214.58,110.85,74.15,30.25,0
86.43,214.79,104.97,78.62,30.02,0
82.04,208.94,114.5,88.38,30.95,0
79.92,215.2,109.01,71.79,27.33,0
80.65,235.28,95.5,76.33,31.64,0
81.88,219.5,102.46,81.67,31.12,0
80.78,222.66,90.22,79.34,29.63,0
82.56,213.35,104.97,91.04,29.63,0
82.47,221.86,101.03,94.77,32.02,0
93.2,253.02,134.29,93.95,37.83,1
80.61,235.38,133.34,102.38,29.45,1
80.78,220.1,100.59,85.97,29.8,0
77.89,219.13,98.74,80.23,30.21,0
80.64,214.4,103.27,80.48,27.82,0
80.33,214.46,96.74,81.87,27.92,0
80.14,208.81,105.06,88.63,32.78,0
82.93,225.03,103.02,96.08,31.4,0
84.74,221.59,104.62,82.14,32.06,0
82.14,213.66,98.53,77.75,27.17,0
81.02,219.29,103.19,79.62,30.75,0
78.19,213.37,100.15,79.6,29.62,0
80.2,215.29,106.97,71.97,34.18,0
83.8,206.98,99.68,69.64,28.77,0
77.48,229.26,97.84,82.29,32.38,0
81.42,219.14,100.15,94.38,29.78,0
80.77,237.52,98.15,76.43,31.1,0
77.03,206.29,97.96,71.83,28.6,0
77.81,227.41,105.66,93.47,29.95,0
76.26,221.71,86.38,74.82,29.37,0
78.49,229.9,108.73,75.49,33.5,0
88.6,259.16,110.62,92.41,39.91,1
84.43,226.86,115.06,88.53,27.22,0
77.57,219.85,112.75,91.06,32.05,0
79.78,213.4,93.81,75.86,27.81,0
85.78,249.4,112.34,102.9,26.9,1
77.54,225.74,88.73,74.78,27.97,0
80.88,225.16,104.74,79.28,28.39,0
75.76,215.02,96.63,77.75,30.69,0
81.76,229.44,94.3,83.52,30.1,0
74.04,218.29,101.79,88.87,29.35,0
79.42,213.93,120.59,89.56,26.81,0
83.43,227.6,101.58,92.52,30.45,0
79.89,221.96,102.24,76.08,28.72,0
78.31,204.38,96.7,91.63,29.84,0
78.61,220.91,100.69,75.86,29.86,0
80.52,219.1,108.23,85.59,32.43,0
78.74,223.98,113.35,81.75,32.78,0
81.08,223.3,85.77,79.87,33.19,0
78.58,232.18,109.19,76.13,31.07,0
74.12,215.27,106.17,99.64,29.88,0
76.96,218.79,96.1,92.64,30.16,0
88.16,211.53,99.54,80.22,29.89,0
76.04,220.93,97.0,83.65,29.71,0
85.12,243.91,107.28,94.0,29.86,1
83.01,217.43,90.04,81.79,27.12,0
77.85,213.0,94.98,81.8,32.17,0
78.06,215.49,111.97,89.51,28.31,0
85.56,215.52,113.41,85.4,30.43,0
81.45,224.03,105.95,74.54,28.16,0
76.26,220.38,97.53,76.05,27.03,0
83.27,224.31,94.37,92.59,28.2,0
80.68,225.69,105.77,78.07,27.62,0
77.28,222.25,103.16,76.64,31.83,0
77.43,227.64,86.32,63.67,30.15,0
80.89,221.79,106.59,69.12,26.61,0
76.81,220.04,97.26,85.2,28.56,0
70.28,219.47,100.77,80.61,30.87,0
82.75,219.85,92.08,78.66,32.77,0
85.3,220.79,99.44,84.35,27.58,0
79.0,226.04,108.65,74.63,26.05,0
79.9,222.73,100.11,75.53,29.96,0
76.29,232.41,98.08,82.74,30.09,0
81.14,249.23,125.33,87.91,30.74,1
80.46,226.06,107.86,85.08,30.79,0
81.55,224.61,101.49,74.79,26.33,0
82.79,210.29,95.92,76.9,31.93,0
79.77,203.46,95.64,72.26,26.01,0
79.33,215.76,101.37,71.99,30.34,0
85.69,208.96,114.04,60.61,28.46,0
76.31,224.12,110.17,81.95,34.29,0
83.1,224.56,89.79,66.08,32.98,0
76.02,224.38,88.17,74.9,30.4,0
86.57,216.25,100.85,75.98,30.08,0
81.16,218.23,103.78,83.15,30.28,0
83.13,236.64,104.93,116.02,31.4,1
79.03,218.86,114.02,74.46,30.56,0
