x_load,y_load,z_load,spindle_speed,feed_rate,tool_wear_class
66.71,42.59,51.83,2628.77,330.24,2
46.71,31.8,54.97,1160.21,308.55,2
21.24,24.12,30.65,2022.26,216.2,0
25.7,27.02,39.96,2375.44,395.44,0
33.82,38.59,44.6,2804.81,241.93,2
35.13,28.96,42.48,1849.7,421.06,1
34.83,46.84,64.13,1240.89,130.88,2
45.31,49.64,64.18,1368.92,109.03,2
38.74,38.5,53.07,2271.88,249.82,1
35.35,34.68,53.47,2213.69,463.37,1
20.77,24.58,38.48,1626.7,371.85,0
33.42,40.87,77.95,1828.28,215.27,2
28.97,27.57,27.26,1153.72,107.02,0
25.12,15.62,37.16,1987.63,278.22,0
42.41,48.83,50.9,2404.21,139.2,2
34.37,21.29,49.52,1493.65,352.37,0
31.59,43.19,31.96,2239.05,248.59,1
26.84,23.79,30.31,2227.21,285.64,0
16.92,22.32,31.06,1805.75,100.54,0
10.64,23.71,33.54,2914.9,123.24,0
18.22,28.08,40.46,2414.17,307.18,0
21.33,26.84,23.22,1464.77,358.58,0
32.98,30.32,66.68,1706.21,344.04,2
32.39,30.7,41.27,2731.15,300.16,0
24.61,16.99,38.51,1108.66,369.65,0
49.37,33.86,60.85,2599.57,295.27,2
49.89,45.65,55.88,1810.85,479.71,2
27.36,33.38,57.63,1307.38,400.11,1
27.12,21.24,38.27,2928.16,273.13,0
34.11,29.95,30.73,2496.37,157.63,1
33.24,40.78,43.17,2055.35,170.2,1
43.42,60.79,36.78,2995.5,479.59,2
38.53,33.58,43.45,1230.29,130.7,2
26.49,35.85,29.49,1000.27,466.99,0
24.82,30.43,44.77,1145.8,248.7,0
39.56,44.49,66.08,1802.92,194.77,2
37.38,56.86,56.48,1080.57,163.49,2
49.97,41.26,80.52,1369.68,476.59,2
30.82,29.04,33.54,1590.58,219.92,0
49.04,40.49,48.52,1883.67,458.63,2
55.39,51.98,57.84,2046.8,350.27,2
25.46,31.32,57.99,1404.51,454.44,1
26.47,28.69,32.84,2589.03,409.26,0
43.35,36.9,41.33,1028.76,444.88,1
56.45,44.66,55.33,2871.87,496.61,2
42.93,55.97,41.2,1676.17,138.79,2
43.65,27.14,36.67,1625.56,329.72,1
44.25,45.14,49.34,2397.9,275.9,1
47.38,44.2,45.52,2161.29,462.82,2
20.95,34.19,29.36,1562.01,489.68,0
24.26,26.62,37.01,1268.87,258.05,0
32.49,33.91,46.58,2629.88,167.0,1
51.91,39.72,80.1,1717.24,329.55,2
