upper_force,lower_force,displacement,velocity,temp_1,temp_2,temp_3,temp_4,temp_5,stroke_length,dwell_time,forming_energy,quality
235.75,172.35,27.33,59.09,75.62,106.49,90.92,89.7,83.11,31.17,2.98,146.76,0
183.55,137.18,18.5,47.0,89.23,112.47,69.29,100.42,85.13,27.59,1.54,174.9,0
312.06,163.69,32.11,32.55,103.61,97.41,101.52,102.96,110.27,37.04,3.2,163.85,1
166.58,135.84,13.44,69.37,95.03,87.61,68.93,89.12,85.8,35.84,2.82,154.6,0
155.78,135.84,12.23,72.9,118.42,104.06,115.61,100.03,75.92,32.74,2.16,164.68,0
238.88,163.93,27.14,54.14,120.52,106.5,110.49,92.4,79.34,38.07,2.62,148.96,0
175.54,152.64,19.57,53.62,101.03,91.81,80.45,99.36,73.63,33.92,1.7,134.09,0
193.35,145.73,38.63,28.31,103.86,84.23,91.57,85.02,93.75,31.45,2.0,145.23,0
207.76,155.62,30.33,82.11,92.22,82.52,75.76,93.52,92.21,38.38,1.82,165.56,0
216.45,140.97,8.31,63.0,91.19,108.35,68.95,81.08,74.13,38.99,3.21,144.01,0
201.41,188.19,27.01,47.41,95.78,98.7,85.46,66.91,80.56,33.97,2.58,133.4,0
274.56,161.14,25.01,74.36,107.65,88.8,90.22,81.87,82.68,34.88,2.32,131.48,0
195.49,144.34,28.79,43.31,101.42,88.65,94.37,65.91,71.0,32.33,2.32,175.9,0
303.57,169.35,29.08,16.61,130.56,118.28,102.95,118.36,78.27,51.07,1.74,175.65,1
160.02,131.09,29.53,45.08,87.08,82.91,86.12,92.04,87.02,35.74,2.63,163.02,0
163.48,177.03,26.05,75.27,96.48,78.4,79.34,57.26,70.86,39.71,2.43,152.56,0
210.08,137.98,30.63,51.99,101.31,85.93,111.36,86.22,76.05,27.46,2.78,126.04,0
195.49,155.08,21.25,52.15,79.01,81.36,86.32,62.54,90.22,37.4,2.45,108.82,0
237.59,212.33,36.42,47.31,91.5,75.92,92.57,97.37,72.1,28.14,2.74,143.66,0
204.48,138.84,20.13,57.7,109.4,80.71,81.32,75.85,75.34,45.26,2.81,148.08,0
191.08,156.7,19.66,41.96,84.9,106.81,119.35,93.74,80.59,44.04,3.43,142.0,0
230.62,162.67,28.71,67.37,139.89,110.04,97.11,117.38,117.42,48.98,3.62,179.9,1
278.72,188.54,35.2,-9.45,126.14,107.97,95.48,97.08,106.55,50.91,3.08,218.17,1
273.81,151.01,35.34,49.67,120.81,149.12,103.68,85.09,90.35,36.63,3.85,226.69,1
237.49,145.5,24.08,43.81,79.82,87.7,96.33,94.65,78.87,45.19,3.1,161.45,0
251.6,117.84,12.72,24.27,121.1,125.28,130.98,100.14,96.02,38.78,2.11,153.19,1
185.09,184.66,29.08,99.03,120.86,96.36,86.24,84.63,76.33,42.87,3.34,142.37,0
174.89,193.89,30.78,75.45,110.26,93.02,96.67,98.66,81.14,38.66,2.91,129.6,0
266.28,221.9,22.12,10.35,146.32,99.17,95.83,77.25,100.9,31.29,2.69,199.17,1
217.78,138.04,33.38,78.1,87.45,116.58,96.04,73.87,85.88,36.47,1.24,172.41,0
268.06,184.35,31.48,23.34,119.34,105.41,110.22,82.4,105.84,24.88,3.7,228.03,1
175.15,137.81,19.79,51.1,68.14,92.75,75.25,73.29,96.8,28.38,1.85,143.97,0
212.24,205.34,36.26,59.62,85.28,92.1,89.98,76.78,102.59,38.13,2.32,170.91,0
235.15,118.18,35.99,71.78,76.29,104.71,100.74,69.14,80.67,30.07,2.33,136.16,0
209.66,197.73,35.56,50.06,105.41,98.96,89.33,75.9,81.91,36.19,2.61,193.13,0
157.29,154.22,33.3,58.31,100.52,87.44,69.75,96.78,69.2,38.28,2.92,136.94,0
231.96,166.91,13.02,79.28,103.28,83.89,84.73,98.89,77.45,30.57,2.35,141.93,0
142.65,109.5,19.73,65.75,97.76,65.09,82.63,75.6,95.29,34.9,2.57,168.32,0
219.0,152.42,23.36,60.74,102.22,97.41,80.35,82.0,75.37,28.52,2.95,150.04,0
158.85,146.35,29.83,54.7,112.87,91.01,90.32,81.89,87.41,34.01,2.51,163.54,0
226.63,189.71,26.54,62.57,101.64,120.72,87.8,68.94,81.46,39.36,3.11,133.72,0
230.21,132.61,29.99,48.31,128.48,95.63,94.14,75.22,86.83,41.42,1.89,186.11,0
186.62,200.88,28.49,75.68,106.25,71.44,81.46,93.91,78.5,29.59,1.42,126.02,0
146.28,154.98,24.73,50.66,90.2,115.26,107.42,106.83,72.3,42.69,3.68,167.63,1
269.11,144.81,12.07,35.48,94.85,92.79,98.2,93.63,75.37,25.05,1.62,164.3,0
182.42,158.3,19.09,43.42,94.98,71.7,107.51,92.76,80.64,44.48,2.49,138.51,0
