current,voltage,wire_feed_speed,travel_speed,gas_flow,arc_length,heat_input,quality
244.4,25.84,11.9,257.74,15.54,6.06,1.47,0
191.89,30.78,9.77,485.85,19.6,5.65,0.73,0
186.87,35.0,9.8,312.84,18.27,5.95,1.25,0
213.51,27.24,12.48,304.93,19.9,6.01,1.14,0
237.22,28.43,11.16,475.46,19.38,4.58,0.85,0
171.44,29.43,8.79,371.66,18.12,6.07,0.81,0
242.46,30.6,10.5,356.58,21.66,5.27,1.25,0
219.25,26.56,13.15,451.93,19.29,5.39,0.77,0
202.77,26.43,9.32,432.74,22.07,6.71,0.74,0
282.39,45.45,10.19,165.62,18.1,6.51,4.65,1
212.31,32.51,9.27,462.88,19.9,5.46,0.89,0
201.3,29.21,11.25,332.91,18.83,5.63,1.06,0
236.53,34.53,7.91,338.23,22.29,6.52,1.45,0
214.88,25.83,8.15,295.22,23.02,5.61,1.13,0
215.43,25.1,7.86,474.89,22.65,4.87,0.68,0
209.93,25.59,7.26,399.6,18.76,3.99,0.81,0
271.85,30.14,9.84,130.64,16.24,6.13,3.76,1
221.09,31.71,10.86,375.1,21.57,5.45,1.12,0
253.08,30.91,11.29,337.85,20.27,6.5,1.39,0
226.55,25.78,9.98,314.3,21.57,4.5,1.12,0
220.7,35.21,10.63,366.97,14.47,7.58,1.27,1
318.37,34.53,7.93,370.04,19.89,6.35,1.78,1
215.34,27.28,8.35,293.8,16.85,4.42,1.2,0
246.52,26.23,11.93,428.09,20.89,5.48,0.91,0
210.47,22.69,11.75,456.61,20.62,6.74,0.63,0
267.04,34.83,8.21,171.1,18.06,7.06,3.26,1
206.97,28.7,12.41,298.46,11.34,4.79,1.19,1
229.55,29.69,8.75,394.27,19.83,6.13,1.04,0
234.88,25.61,7.83,410.17,16.76,5.98,0.88,0
195.85,31.53,9.34,443.93,22.96,6.41,0.83,0
257.2,37.56,15.7,219.55,16.35,4.64,2.64,1
236.96,29.29,10.03,366.04,16.74,6.26,1.14,0
232.17,29.57,10.22,310.27,21.3,6.25,1.33,0
193.81,29.24,8.05,295.68,23.01,4.73,1.15,0
250.94,25.23,6.77,475.64,17.86,5.34,0.8,0
195.22,27.73,6.24,512.72,19.8,5.97,0.63,0
243.34,26.12,10.88,506.66,17.7,4.44,0.75,0
206.27,25.64,7.55,285.75,21.09,4.7,1.11,0
205.3,26.23,9.39,205.59,22.54,4.19,1.57,0
227.11,26.99,14.89,424.24,19.79,5.13,0.87,0
189.41,24.68,12.17,339.32,24.24,5.45,0.83,0
186.58,24.78,11.64,399.49,19.89,5.83,0.69,0
278.83,35.81,16.04,326.93,15.75,6.64,1.83,1
227.9,24.76,10.87,432.4,20.44,5.61,0.78,0
232.81,27.69,11.26,378.97,19.75,7.08,1.02,0
214.82,24.31,11.22,440.52,23.22,6.14,0.71,0
239.87,29.93,9.8,339.27,16.66,5.16,1.27,0
221.87,28.03,8.08,358.1,17.72,5.83,1.04,0
210.24,29.11,9.88,487.05,21.58,5.91,0.75,0
213.53,27.35,8.86,307.51,17.67,4.6,1.14,0
188.01,30.21,9.96,436.24,17.1,5.05,0.78,0
