 유형 , 시도 , 시군 , 단지명 , 조성상태 , 지정면적 , 관리면적 , 전체면적 , 분양대상 , 분양 , 미분양 , 분양률 , 입주업체 , 가동업체 , 고용(남) , 고용(여) , 고용(계) , 누계생산(백만원) , 누계수출(천달러) 
국가,서울,구로구,한국수출산업 (①),완료,"1,922 ","1,920 ","1,426 ","1,426 ","1,426 ",0 ,100 ,"15,264 ","13,970 ","93,122 ","43,062 ","136,184 ","8,008,695 ","1,472,592 "
국가,서울,구로구,   서울디지털 ①,완료,"1,922 ","1,920 ","1,426 ","1,426 ","1,426 ",0 ,100 ,"15,264 ","13,970 ","93,122 ","43,062 ","136,184 ","8,008,695 ","1,472,592 "
일반,서울,구로구,서울온수,완료,158 ,158 ,123 ,123 ,123 ,0 ,100 ,197 ,197 ,"1,148 ",359 ,"1,507 ","60,000 ","4,000 "
일반,서울,강서구,마곡,조성중,"1,124 ","1,124 ",729 ,729 ,603 ,126 ,83 ,199 ,149 ,"25,872 ","13,001 ","38,873 ",0 ,0 
일반,서울,강동구,강동,미개발,78 ,78 ,27 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
국가,부산,강서구,명지·녹산 (① + ②),완료,"8,841 ","8,814 ","4,295 ","4,295 ","4,295 ",0 ,100 ,"1,562 ","1,287 ","21,176 ","5,442 ","26,618 ","6,540,750 ","2,341,211 "
국가,부산,강서구,   녹산지구(산업단지) ①,완료,"6,998 ","6,971 ","4,295 ","4,295 ","4,295 ",0 ,100 ,"1,562 ","1,287 ","21,176 ","5,442 ","26,618 ","6,540,750 ","2,341,211 "
국가,부산,강서구,   명지지구 ②,완료,"1,843 ","1,843 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
일반,부산,강서구,부산과학 (① + ②),완료,"1,967 ","1,967 ","1,030 ","1,030 ","1,010 ",20 ,98 ,237 ,237 ,"3,976 ",913 ,"4,889 ","1,427,524 ","378,586 "
일반,부산,강서구,   부산과학 ①,완료,"1,669 ","1,669 ",732 ,732 ,732 ,0 ,100 ,225 ,225 ,"3,030 ",792 ,"3,822 ","1,015,224 ","227,086 "
일반,부산,강서구,   지사(외국인) ②,완료,298 ,298 ,298 ,298 ,278 ,20 ,93 ,12 ,12 ,946 ,121 ,"1,067 ","412,300 ","151,500 "
일반,부산,강서구,부산신항배후국제산업물류도시(1단계),완료,"5,708 ","5,708 ","3,186 ","3,186 ","2,982 ",204 ,94 ,545 ,536 ,"7,854 ","2,508 ","10,362 ","3,300,250 ","788,010 "
일반,부산,기장군,명례,완료,"1,566 ","1,566 ",869 ,869 ,869 ,0 ,100 ,115 ,109 ,"1,421 ",465 ,"1,886 ","726,907 ","107,563 "
일반,부산,사하구,산양,조성중,52 ,52 ,24 ,19 ,19 ,0 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
